一	1
𭠤	扌 1 戈无一 刂
𭠥	扌 左字框 青字底
𭠦	扌 大 干
𭠧	歹 刂 手
𭠨	扌 大 土
𭠩	扌 开 刂
𭠪	扌 3 目
𭠫	手 亼 口
𭠬	扌 久二 4 口
𭠭	扌 卧人 冂 丄
𭠮	扌 乂 左字框 又
𭠯	扌 阝 寸
𭠰	手 丩 攵
𭠱	扌 刀 刀 刀
𭠲	手 丝左角 1 丅 1
𭠳	手 十 兄
𭠴	手 王 廾
𭠵	扌 1 戈无一 幺
𭠶	扌 士 心
𭠷	扌 比字旁 匕 土
𭠸	手 三 3 寸
𭠹	扌 1 巾 5 4
𭠺	手 目 儿
𭠻	手 另 刂
𭠼	扌 山 巴三 6
𭠽	扌 山 冂 乂
𭠾	扌 月 土
𭠿	扌 亻 立无横 1
𭡀	扌 3 口 虫无口
𭡁	扌 负字头 冖 巾
𭡂	扌 3 丄 5 久二 4
𭡃	扌 3 十 口 6
𭡄	扌 辛
𭡅	扌 宀 八 5 3
𭡆	扌 广 学字头 1
𭡇	手 5 夫三 阝
𭡈	扌 彐 龰
𭡉	扌 土 3 3 6 3 4
𭡊	扌 土 厶 阝
𭡋	木 攵 手
𭡌	扌 1 由 1 6
𭡍	龵 四横 2 下
𭡎	手 日 比字旁 匕
𭡏	扌 田 儿 4
𭡐	扌 冂 丷 1 亠 6
𭡑	扌 口 6 日
𭡒	扌 口 口 几
𭡓	扌 反字框 丅 攵
𭡔	扌 负字头 厂 巴三 6
𭡕	扌 反字框 丅 辶
𭡖	扌 人 亠 3 6 水字边
𭡗	扌 夂 2 4 口
𭡘	扌 八 刀 见二 人
𭡙	手 4 尸 青字底
𭡚	扌 氵 土 厶
𭡛	扌 亠 乂 凵 儿
𭡜	扌 宀 申
𭡝	扌 5 2 率字腰 凵
𭡞	扌 土 土 寸
𭡟	扌 土 厶 3 6 3 4
𭡠	扌 木 二 小
𭡡	扌 龶 6 5 亠 4
𭡢	扌 大 口 廾
𭡣	见二 二 目 手
𭡤	手 目 八 刂
𭡥	扌 罒 方
𭡦	扌 日 3 龶
𭡧	扌 日 卬字旁 3 卩
𭡨	扌 田 比字旁 匕
𭡩	扌 亻 言
𭡪	扌 卧人 日 夂
𭡫	扌 犭二 3 口 虫无口
𭡬	扌 亠 亦字底 大
𭡭	扌 氵 3 十 口
𭡮	扌 冬字底 十 申
𭡯	扌 丩 丆 夂 冬字底
𭡰	手 即字旁 牙二 儿
𭡱	扌 尸 丷 1 举字底
𭡲	扌 丆 目 夂
𭡳	扌 土 龰 己
𭡴	扌 三 戈无一 皿
𭡵	扌 1 业无横 1 心
𭡶	扌 艹 早
𭡷	扌 艹 厂 4 戈无一
𭡸	扌 卢字头 日 龰
𭡹	扌 日 1 甲
𭡺	扌 冂 丷 1 山 刂
𭡻	手 竹头 夭
𭡼	手 留字头 田
𭡽	扌 3 十 2 二 匕 全字头
𭡾	扌 气 丷 木
𭡿	扌 3 十 口 3 6 3 4
𭢀	扌 宀 女 木
𭢁	扌 丷 木 辶
𭢂	扌 广 人 人 土
𭢃	扌 氵 少三 3 女
𭢄	扌 刀 刀 刀 青字底
𭢅	临字旁 6 2 5 二 1 八 手
𭢆	扌 卧人 口 1 3 6 3 4
𭢇	手 十 早 卧人 5
𭢈	扌 老 见二 三
𭢉	扌 虍 丘
𭢊	手 夂 三 2 辶
𭢋	扌 3 舟无撇 皿
𭢌	扌 亻 2 条
𭢍	扌 3 木 刂 木
𭢎	扌 亻 2 夂 青字底
𭢏	扌 丷 夫 二 小
𭢐	扌 丷 三 人 手
𭢑	手 丷 1 夫三 目
𭢒	扌 言 卧人 十
𭢓	扌 立无横 1 早
𭢔	扌 亠 1 口 2 3 6 3 4
𭢕	扌 丷 王 皿
𭢖	扌 言 攵
𭢗	扌 夫 夫 日
𭢘	扌 艹 三 八 月
𭢙	扌 十 罒 1 心
𭢚	扌 土 亠 3 6 水字边 戈无一
𭢛	扌 丆 冂 临字旁 丆 冂 临字旁
𭢜	扌 亻 隹字边 辶
𭢝	扌 月 龷 日
𭢞	扌 丷 1 业无横 1 日
𭢟	扌 亠 久二 4 久二 4 3 6 水字边
𭢠	扌 亠 见二 4 见二 4 木
𭢡	扌 聿三 2 率字腰 辶
𭢢	扌 习 习 人 小 4
𭢣	扌 歹 反字框 十 目
𭢤	扌 覀 目 八
𭢥	扌 艹 氵 夂 口
𭢦	扌 艹 5 4 横两撇 4 1 大
𭢧	扌 艹 厂 甲 二
𭢨	扌 亻 龷 3 冂 举字底
𭢩	埓上角 豸字底 艮 手
𭢪	扌 竹头 言
𭢫	扌 3 日 率字腰 木
𭢬	扌 4 尸 冂 艹 辶
𭢭	扌 立无横 1 朩 反字框 丅
𭢮	扌 广 木 木 厶
𭢯	扌 六 寒字腰 3 6 水字边
𭢰	扌 5 2 口 又 口 虫无口
𭢱	女 又 手 大 日 6
𭢲	扌 土 人 人 见二 临字旁 三
𭢳	扌 牙二 2 3 牙二 2 3 丷 木
𭢴	扌 止 厂 戈无一 1 少三 3
𭢵	扌 口 丄 㠯 辶
𭢶	扌 門字旁 門字边 臼
𭢷	手 3 目 田 丌
𭢸	扌 3 木 千二 申 二
𭢹	扌 广 木 木 么
𭢺	扌 立无横 1 山 丆 冂 临字旁
𭢻	扌 鹿 土
𭢼	扌 宀 必 口 虫无口
𭢽	广 木 木 手 韦无二 6
𭢾	扌 1 5 3 举字底 勹 横两撇 4 辶
𭢿	扌 匕 二 小 聿三 2 率字腰
𭣀	手 黑五 里无日 灬 土
𭣁	扌 龸 口 目 八
𭣂	3 土 口 2 3 3 冖 口 手
𭣃	扌 尸 丷 曾字头无丷 日
𭣄	扌 臣 临右角 目 儿
𭣅	扌 艹 1 口 2 二 匕 灬
𭣆	土 丷 干 火 火 手
𭣇	扌 真 丆 见二 人
𭣈	口 1 車无一 凵 殳 手
𭣉	扌 門字旁 門字边 亻 隹字边
𭣊	扌 竹头 丅 1 凡 木
𭣋	扌 立无横 1 朩 目 儿
𭣌	扌 罒 1 口 3 6 水字边 辶
𭣍	扌 艹 3 㠯 辛
𭣎	扌 艹 日 大 幺 小
𭣏	扌 3 丷 木 日 十 十 十
𭣐	扌 弓 1 八 巾 乂 乂 乂 乂
𭣑	王 王 必 扌 尸 匕
𭣒	广 木 木 手 亼 朩
𭣓	扌 盥左角 盥右角 6 见二 1 叚右角 火 火 火
𭣔	1 6 4 4
𭣕	丅 5 又 3
𭣖	冫 2 十 又
𭣗	十 又 只
𭣘	十 又 勹 巳
𭣙	享字头 冖 1 2 十 又
𭣚	龷 日 1 6 4 4
𭣛	土 丷 干 丸 十 又
𭣜	龸 口 木 十 又
𭣝	龸 口 牙二 2 3 十 又
𭣞	十 罒 彡 4 卬字旁 十 又
𭣟	习 习 亻 隹字边 十 又
𭣠	竹头 亼 口 口 人 人 十 又
𭣡	5 2 攵
𭣢	亻 2 攴
𭣣	冫 2 攵
𭣤	歹 攵
𭣥	口 乂 攵
𭣦	负字头 彐 攵
𭣧	又 举字底 攵
𭣨	斥 攵
𭣩	出 攵
𭣪	厂 民字框 4 攵
𭣫	卢字头 彐 1 攵
𭣬	上 小 攵
𭣭	八 厶 儿 攴
𭣮	3 举字底 冂 攵
𭣯	1 冂 木无横 攴
𭣰	负字头 彐 1 攵
𭣱	乂 朩 攵
𭣲	久二 冬字底 5 子字底 攵
𭣳	丷 兄 攴
𭣴	1 口 木无横 攴
𭣵	龷 弓 攵
𭣶	周字框 土 口 攵
𭣷	乂 乂 青字底 攴
𭣸	享字头 5 子字底 攴
𭣹	龷 青字底 攴
𭣺	龷 方 攵
𭣻	非 攵
𭣼	牙二 2 3 攵 1 止
𭣽	反字框 十 目 攴
𭣾	亠 日 5 子字底 攵
𭣿	立无横 1 口 2 攴
𭤀	比字旁 匕 3 日 攵
𭤁	3 日 方 攴
𭤂	3 日 歹 攵
𭤃	1 口 2 1 口 2 攵
𭤄	士 冖 3 木 攵
𭤅	1 由 4 寸 攴
𭤆	止 丷 木 攵
𭤇	5 4 矛无龴 攵 厂 女
𭤈	1 由 厶 寸 攵
𭤉	印字旁 6 日 攴 山
𭤊	立无横 1 早 攵
𭤋	口 木 女 左字框 又 4
𭤌	罒 1 口 3 6 水字边 攵
𭤍	丆 日 冖 1 止 攵
𭤎	未 攵 厂 1 丷 木
𭤏	三竖 人 厂 5 1 耳无一 攵
𭤐	虍 鱼省 灬 攴
𭤑	亠 口 口 寒字腰 3 6 水字边 攵
𭤒	目 目 亻 隹字边 攴
𭤓	1 内 1 内 鹿 攵
𭤔	亠 乂 巾
𭤕	亠 乂 二 小
𭤖	1 止 亠 乂
𭤗	亠 乂 1 止
𭤘	亠 乂 日 1
𭤙	民字框 1 6 亠 乂
𭤚	亠 乂 戌三 口 戈无一 心
𭤛	言 幺 幺 亠 乂
𭤜	虍 夂 2 4 冬字底 十
𭤝	口 口 冬字底 十 口 口
𭤞	广 木 木 卑六 6 厶 冬字底 十
𭤟	反字框 丅 1
𭤠	欠 反字框 丅
𭤡	丅 1 几 反字框 丅
𭤢	反字框 丅 3 夫
𭤣	目 6 小 反字框 丅
𭤤	日 人 口 反字框 丅
𭤥	2 日 勹 匕 反字框 丅 1
𭤦	罒 勹 口 虫无口 反字框 丅
𭤧	1 5 3
𭤨	方 卧人
𭤩	方 厶
𭤪	1 6 方
𭤫	方 口 2
𭤬	方 3 丄 5
𭤭	方 艹 二
𭤮	方 横两撇 韦无二 6
𭤯	方 3 龶
𭤰	方 卧人 与
𭤱	方 3 4 5 4
𭤲	方 丷 举字底
𭤳	方 立无横 1
𭤴	方 尸 七
𭤵	土 韦无二 6 方
𭤶	方 1 耳无一
𭤷	方 彳 二 2
𭤸	方 卧人 巴三 6
𭤹	方 人 冫 人
𭤺	方 负字头 左字框 巾
𭤻	方 卧人 二 止
𭤼	方 京
𭤽	方 厶 口 虫无口
𭤾	方 尸 出
𭤿	方 爫 无三 又
𭥀	方 尸 丷 开
𭥁	方 立无横 冖 方
𭥂	1 車无一 殳 方
𭥃	方 卧人 立无横 1 口 2
𭥄	方 方 卧人 5 龰
𭥅	方 艹 日 勹 匕
𭥆	方 亠 回 日 1
𭥇	方 1 八 巾 乂 乂 乂 乂
𭥈	立无横 冖 方 山 厂 干
𭥉	方 丷 1 夫 4 艮
𭥊	即字旁 牙二 儿 夂 三 2 辶
𭥋	日 5
𭥌	日 1 2
𭥍	卧人 日
𭥎	厶 日
𭥏	日 大
𭥐	日 丅 1
𭥑	日 久二 4
𭥒	日 丆 又
𭥓	日 二 厶
𭥔	日 1 大
𭥕	日 王
𭥖	日 二 儿
𭥗	日 日
𭥘	勹 乂 日
𭥙	日 亠 几
𭥚	日 2 水字框
𭥛	日 5 子字底 6
𭥜	尸 4 日
𭥝	凵 6 日
𭥞	日 聿三 3
𭥟	5 厶 日 5
𭥠	日 厶 儿
𭥡	早 卧人 5
𭥢	日 于无横 水字框
𭥣	2 二 匕 日
𭥤	日 冂 口
𭥥	日 彡 几
𭥦	日 久二 4 卩
𭥧	日 久二 4 十
𭥨	日 儿 夂
𭥩	日 立无横 1
𭥪	日 丷 三
𭥫	田 日
𭥬	3 十 左字框 日
𭥭	日 勹 延字心无撇
𭥮	日 扌 3 七
𭥯	日 左字框 青字底
𭥰	日 1 王 6
𭥱	日 大 寸
𭥲	日 匕 日
𭥳	日 早
𭥴	曾字头无丷 日
𭥵	日 夂 口
𭥶	日 亻 木
𭥷	日 卧人 日
𭥸	日 久二 4 寸
𭥹	日 3 十 口
𭥺	日 氵 丅 1
𭥻	日 丷 木
𭥼	日 亠 亦字底
𭥽	日 学字头 1 八
𭥾	日 亠 3 6 水字边
𭥿	日 厶 牙二 2
𭦀	日 5 3 5 3 5 3
𭦁	日 5 3 七 几
𭦂	日 艮
𭦃	二 二 人 日
𭦄	日 王 廾
𭦅	日 比字旁 匕 土
𭦆	日 大 辶
𭦇	日 艹 亠 6
𭦈	日 见二 三 八
𭦉	日 田 5 3
𭦊	日 爫 5 子字底
𭦋	日 延字心 5 4
𭦌	鱼省 日
𭦍	日 人 目
𭦎	日 亻 卧人 2 二
𭦏	日 3 木 刂
𭦐	日 三 3 阝
𭦑	日 亠 儿 夂
𭦒	日 宀 八 3 5
𭦓	日 亠 厶 荒字底
𭦔	日 己 攵
𭦕	日 厶 八 夂
𭦖	巳 攵 日
𭦗	日 皿 万无横
𭦘	申 丷 开
𭦙	1 幺 幺 1 日
𭦚	丆 日 八 日
𭦛	日 大 二 小
𭦜	日 干 人 干
𭦝	日 干 亽 5 4
𭦞	早 3 土 儿
𭦟	日 罒 1 万无横
𭦠	日 日 3 廾
𭦡	日 反字框 丅 欠
𭦢	日 3 豸字底 反字框 丅
𭦣	日 丷 夫 5 6
𭦤	日 宀 定字底
𭦥	日 广 亻 寸
𭦦	日 彐 青字底 2
𭦧	日 5 二 2 率字腰
𭦨	二 儿 日 刀 口
𭦩	日 土 儿 二 儿
𭦪	覀 上 日
𭦫	覀 女 日
𭦬	日 十 见二 三 八
𭦭	日 大 土 土
𭦮	日 三 2 三 2 1
𭦯	日 定字底 印字旁 6
𭦰	匕 日 1 青字底 2 4
𭦱	日 口 1 耳无一
𭦲	日 艹 左字框 口
𭦳	口 虫无口 巳 日
𭦴	日 免 5 3
𭦵	日 反字框 1 口 土
𭦶	日 彳 艮
𭦷	日 3 龶 内
𭦸	日 3 日 亠 乂
𭦹	日 勹 匕 斥
𭦺	日 臼 人
𭦻	日 乃 又 皿
𭦼	日 忄 艮
𭦽	日 立无横 冖 巾
𭦾	日 享字头 冖 几
𭦿	日 宀 儿 左字框 又
𭧀	见二 人 罒 日
𭧁	申 负字头 臼
𭧂	日 共 2 横三点
𭧃	早 爫 冖 又
𭧄	日 干 4 艮
𭧅	日 覀 木
𭧆	覀 亠 乂 日
𭧇	日 1 厶 土 攵
𭧈	日 扌 丸 灬
𭧉	日 龷 3 冂 举字底
𭧊	日 山 1 几 攵
𭧋	日 龸 口 儿
𭧌	日 日 尚字头 1 儿
𭧍	日 口 甲 二
𭧎	日 爫 幺 大
𭧏	日 爫 臼
𭧐	日 夂 目 儿
𭧑	日 勹 人 6 土 厶
𭧒	日 1 車无一 辶
𭧓	早 享字头 冖 几
𭧔	日 木 人 2 率字腰
𭧕	日 艹 冖 久二 4 5 6
𭧖	日 衰字腰 口 2 女
𭧗	日 业无横 1 宀 寸
𭧘	日 鳥省 灬
𭧙	日 3 土 口 辶
𭧚	日 勹 横两撇 忄 5 大
𭧛	日 负字头 日 日 6
𭧜	日 3 木 刂 木
𭧝	卧人 大 口 日 二 6
𭧞	日 竹头 弓 2 3
𭧟	日 京 久
𭧠	日 广 聿三 2 率字腰
𭧡	3 日 幺 幺 日
𭧢	1 口 2 冖 日 定字底
𭧣	1 大 1 大 灬 日
𭧤	日 大 十 左字框 日
𭧥	日 十 艹 目 八
𭧦	日 定字底 3 扌 戈无一
𭧧	日 十 1 青字底 2 4 寸
𭧨	日 尚字头 冂 口 攵
𭧩	日 艹 亠 人 人 十
𭧪	日 黑五 里无日 灬
𭧫	日 口 丄 目 八
𭧬	日 负字头 厂 儿 丅 1 口
𭧭	日 亻 隹字边 灬
𭧮	日 3 人 人 人 人 二 6
𭧯	日 向 亠 3 6 水字边
𭧰	日 3 龶 甲 二
𭧱	日 丷 1 业无横 1 日
𭧲	日 火 火 火
𭧳	土 八 土 5 夫三 日
𭧴	日 門字旁 門字边 木
𭧵	日 十 罒 亠 3 6 水字边
𭧶	日 十 左字框 日 灬
𭧷	日 虍 田 5 3
𭧸	日 日 勹 人 6 欠
𭧹	日 止 夂 2 4 日
𭧺	日 勹 横两撇 尸 丷 木
𭧻	日 3 龶 艹 冖 5 3
𭧼	日 3 龶 4 门无丶 亠 巾
𭧽	日 六 寒字腰 3 6 水字边
𭧾	日 臣 巳 灬
𭧿	日 臣 临右角 皿
𭨀	三 人 日 宀 八 牙二 2 3
𭨁	日 1 八 巾 乂 乂 乂 乂
𭨂	龷 日 匕 目 6 八
𭨃	日 日 共 2 横三点
𭨄	日 爫 丅 1 彐 心
𭨅	日 3 龶 立无横 冖 巾
𭨆	日 金 艮
𭨇	日 丷 木 龶 青字底
𭨈	日 卢字头 冖 1 八 全字头 目
𭨉	日 士 口 冖 1 厶 土
𭨊	日 艹 1 日 大 日
𭨋	日 日 艹 1 龷 十
𭨌	日 千二 申 二 5 3 灬
𭨍	日 土 土 土 目 八
𭨎	日 1 甲 二 1 口 1 戈无一
𭨏	日 业无横 1 龷 由 八
𭨐	厶 刃 刃 丅 5 1 灬 日
𭨑	日 亼 口 口 口 冂 艹
𭨒	日 罒 幺 横三点 亻 隹字边
𭨓	日 虍 鬲 犬
𭨔	卧人 大 口 日 丷 1 举字底 丷 1 口
𭨕	日 臣 临右角 罒 目 儿
𭨖	日 日 京 丆 目 八
𭨗	日 京 见二 1 口 亠 见二 临字旁 三
𭨘	日 6 4
𭨙	曲 二 6
𭨚	久二 4 2 4 日
𭨛	曲 亽 5
𭨜	曲 1 戈无一
𭨝	日 勹 横两撇 反字框 丅
𭨞	王 刀中 王 日
𭨟	丷 曾字头无丷 日 才
𭨠	4 尸 口 攵 日
𭨡	聿三 土 日 口 乂
𭨢	日 出 人 小 4
𭨣	日 亼 口 口 口 冂 艹
𭨤	月 卩
𭨥	月 5 2
𭨦	月 个
𭨧	月 弓
𭨨	二 厶 月
𭨩	月 开
𭨪	月 止
𭨫	月 全字头 乔字底
𭨬	月 火
𭨭	月 聿三 3
𭨮	月 口 乂
𭨯	月 八 二 6
𭨰	月 丷 1 乂
𭨱	月 弓 刂
𭨲	月 日 5 2
𭨳	月 亠 3 6 水字边
𭨴	月 1 戈无一 弓
𭨵	月 1 戈无一 丅 1
𭨶	月 临字旁 又 土
𭨷	月 反字框 丅 口
𭨸	月 亻 1 口 2
𭨹	月 二 止 6 4
𭨺	月 1 戈无一 1 口
𭨻	月 全字头 干 口
𭨼	4 尸 青字底 巴三 6
𭨽	月 日 月
𭨾	3 月 殳 木
𭨿	4 尸 冂 艹 月
𭩀	十 口 月 月
𭩁	月 扌 反字框 丅 口
𭩂	月 山 3 口 虫无口
𭩃	月 丷 夫 夂
𭩄	月 负字头 见二 人 1 比字旁 匕
𭩅	月 丷 夫 二 小
𭩆	月 丅 1 丆 目 八
𭩇	月 月 宀 八 丅 1
𭩈	月 负字头 见二 人 豕省
𭩉	月 5 2 水字框 口 巴三 6
𭩊	月 爫 冖 心 夂
𭩋	月 宀 1 盥左角 盥右角 人
𭩌	亠 6 月 王 冂 乂 乂
𭩍	月 丷 丆 目 月
𭩎	月 习 习 人 2 率字腰
𭩏	月 厂 日 青字底 犬
𭩐	月 朱三 四竖 1 久二 4 牙二 2
𭩑	月 爫 丅 1 彐 心
𭩒	月 雨头 厂 二 6 水字边
𭩓	月 罒 厶 青字底 匕 匕
𭩔	亠 6 月 王 5 子字底 皿
𭩕	亠 6 月 王 宀 见二 三
𭩖	月 目 八 目 八 冖 女
𭩗	月 雨头 罒 丅 人 人 1
𭩘	木 5
𭩙	木 下
𭩚	木 4 乂
𭩛	木 4 门无丶
𭩜	木 王
𭩝	木 左字框 匕
𭩞	又 又 木
𭩟	木 6 人
𭩠	艹 6 木
𭩡	木 幺 2
𭩢	1 叚右角 6 木
𭩣	木 丅 1 1 6
𭩤	木 厂 戈无一
𭩥	土 几 木
𭩦	木 卡
𭩧	木 人 干
𭩨	木 夂 5 3
𭩩	木 卬字旁 5 2 3
𭩪	木 久二 4 卩
𭩫	木 全字头 丅 1
𭩬	木 亻 韦无二 6
𭩭	乂 朩 个
𭩮	冫 刃 木
𭩯	木 女 又
𭩰	木 6 3 又 4
𭩱	临字旁 三 木
𭩲	弓 2 3 木
𭩳	木 七 七 七
𭩴	木 厂 5 戈无一
𭩵	木 1 2 日
𭩶	歹 刂 木
𭩷	木 日 匕
𭩸	口 口 木
𭩹	木 久二 4 口
𭩺	木 八 冂 二
𭩻	木 氵 丈
𭩼	丷 木 木
𭩽	木 丷 木
𭩾	木 厶 巴三 6
𭩿	巳 巳 木
𭪀	1 丷 木 丷 1
𭪁	木 刀 刀 刀
𭪂	木 氵 二 2
𭪃	土 亠 乂 木
𭪄	木 麦
𭪅	木 大 1 口
𭪆	木 寸 辶
𭪇	木 1 大 口
𭪈	1 口 木无横 1 乂 6
𭪉	木 卧人 1 止
𭪊	木 攵 彡
𭪋	几 木 1 口 2
𭪌	木 亻 卧人 2 二
𭪍	乂 朩 卡
𭪎	乂 朩 左字框 口
𭪏	木 乃 十 口
𭪐	木 言
𭪑	亠 6 木 木
𭪒	木 丷 1 龰
𭪓	木 4 门无丶 心
𭪔	木 5 子字底 攵
𭪕	歹 举字底 木
𭪖	久二 4 举字底 4 木
𭪗	丷 弓 2 3 木
𭪘	木 木 十 又
𭪙	龷 丷 1 未
𭪚	木 1 口 临字旁 八
𭪛	龶 刀 厶 木
𭪜	木 1 6 3 冫 6 飞无折
𭪝	木 木 犬
𭪞	木 木 灬
𭪟	木 日 亠 乂
𭪠	止 夂 木
𭪡	木 艹 勹 厶
𭪢	卢字头 冂 人 人 木
𭪣	木 内 比字旁 匕
𭪤	木 山 厂 干
𭪥	日 木 亽 5
𭪦	木 山 丆 口
𭪧	木 卬 辶
𭪨	朱三 巾 刂 木
𭪩	木 朱三 巾 刂
𭪪	亻 歹 刂 木
𭪫	风省 乂 木 木
𭪬	乂 朩 尚字头 1 儿
𭪭	亠 6 艹 1 6 木
𭪮	木 宀 久二 4 匕
𭪯	木 丷 覀
𭪰	氵 皮 木
𭪱	木 亠 厶 木
𭪲	木 丷 王 几
𭪳	2 水字框 木 木
𭪴	歹 歹 木
𭪵	木 口 卧人 大
𭪶	木 艹 二 1 夂
𭪷	木 十 艹 木
𭪸	木 1 厶 土 阝
𭪹	日 木 句
𭪺	木 艹 弓 2 3
𭪻	日 木 全字头 彡
𭪼	山 3 罒 木
𭪽	木 口 6 目
𭪾	木 非 1
𭪿	止 匕 1 口 木无横
𭫀	木 口 丄 见二 人
𭫁	日 刀 口 木
𭫂	木 夂 口 虫无口
𭫃	木 亼 口 廾
𭫄	亻 口 木 木
𭫅	犭二 3 口 虫无口 木
𭫆	木 犭二 3 口 虫无口
𭫇	乂 朩 亻 卧人 2 二
𭫈	1 人 人 木无横 1 人 人
𭫉	木 亠 乂 凵 夂
𭫊	木 享字头 3 6 水字边
𭫋	享字头 巴三 6 木
𭫌	又 又 又 木 上
𭫍	木 叚右角 2 二 反
𭫎	木 回 5 4
𭫏	木 十 艹 1 木
𭫐	木 1 三竖 1 冂 里无日
𭫑	丆 口 1 叚右角 6 木
𭫒	1 内 1 内 木
𭫓	木 丆 日 尚字头 1
𭫔	歹 朱 木
𭫕	木 卢字头 目 1 八
𭫖	木 2 3 3 目 八
𭫗	木 3 于无横 彐 率字腰
𭫘	1 人 人 木无横 1 人 人 1
𭫙	木 3 十 口 辶
𭫚	木 亻 亠 人 人 十
𭫛	木 方 卧人 冂 二
𭫜	木 5 4 矛无龴 冂 口
𭫝	1 丷 木 1 丷 木
𭫞	木 臣 犬
𭫟	木 3 日 6 5 亠 4
𭫠	木 大 十 左字框 日
𭫡	木 1 口 2 亠 3 6 水字边
𭫢	王 3 见二 1 久二 4 木
𭫣	木 于无横 率字腰 4 攵
𭫤	木 革 5 3
𭫥	木 左字框 见二 人 冂 口
𭫦	木 三 人 幺 小
𭫧	1 日 木无横 亼 朩
𭫨	木 艹 丩 丆 士
𭫩	木 艹 5 4 冂 举字底
𭫪	卢字头 见二 乂 鬯四点 1 木
𭫫	爫 木 田 5 3
𭫬	木 久二 4 木 火
𭫭	夂 夂 木 左字框 又 4
𭫮	丷 木 艹 1 6 木
𭫯	木 丷 夫 二 小
𭫰	木 丷 夫 3 木
𭫱	木 亠 幺 亠 3 6 水字边
𭫲	木 亠 寒字腰 3 6 3 4
𭫳	木 亠 艹 1 6 木
𭫴	木 丷 弓 2 3 木
𭫵	木 氵 刀 口 虫无口
𭫶	木 立无横 冂 八 口
𭫷	木 5 4 横两撇 4 口 虫无口
𭫸	木 5 2 口 又 灬
𭫹	5 3 口 木 夂 口
𭫺	木 亻 隹字边 夂
𭫻	木 丆 冂 临字旁 丆 日
𭫼	木 1 冂 木无横 1 冂 木无横
𭫽	木 乂 乂 木 木
𭫾	木 1 冂 4 1 冂 4 木
𭫿	木 艹 1 人 人 举字底
𭬀	日 木 日 木
𭬁	木 卧人 十 卧人 十 心
𭬂	木 竹头 1 冂 木无横
𭬃	木 犭二 3 口 虫无口 下
𭬄	木 月 龷 日
𭬅	2 3 3 冂 2 3 3 攵 木
𭬆	木 习 习 向
𭬇	木 阝 夂 1 3 龶
𭬈	木 艹 亻 隹字边
𭬉	木 卧人 大 目 儿
𭬊	木 木 1 耳无一 巳
𭬋	木 雨头 日 6
𭬌	木 见二 1 1 2 6 盥左角 盥右角
𭬍	木 卢字头 5 3 儿 言
𭬎	木 亠 丝左角 3 亻 隹字边
𭬏	幺 横三点 1 青字底 2 4 木
𭬐	木 比字旁 匕 3 日 1 戈无一
𭬑	木 夂 木 大 举字底
𭬒	木 厂 木 木 止
𭬓	木 1 内 1 内 木
𭬔	木 土 厶 非 1
𭬕	木 十 早 全字头 木
𭬖	木 口 鳥省 灬
𭬗	木 艹 见二 人 戌三 戈无一
𭬘	木 亻 隹字边 勹 灬
𭬙	木 广 亻 寸 肉
𭬚	阝 爫 彐 心 木
𭬛	木 5 2 口 又 1 口 虫无口
𭬜	木 覀 3 廾 辶
𭬝	木 艹 亽 彐 3 口
𭬞	木 覀 3 田 3 十
𭬟	艹 口 冖 彐 黽左角 木
𭬠	木 匕 卧人 大 聿三 2 率字腰
𭬡	木 巾 人 人 人 人 攵
𭬢	业无横 1 卧人 大 6 殳 木
𭬣	木 竹头 1 車无一 5 6
𭬤	木 竹头 夫 2 率字腰
𭬥	木 亻 隹字边 冂 八 口
𭬦	木 忄 亻 隹字边 灬
𭬧	木 6 5 1 豕省 口 虫无口
𭬨	木 士 冖 3 木 殳
𭬩	木 艹 口 口 日 十
𭬪	木 口 口 日 十 1 戈无一
𭬫	口 口 亻 目 1 八 木
𭬬	木 竹头 丅 1 凡 木
𭬭	木 八 临下角 丆 目 夂
𭬮	木 丷 王 3 木 戈无一 乃
𭬯	木 立无横 1 甲 二 灬
𭬰	木 弓 1 田 1 田 1
𭬱	木 尸 二 2 二 牙二 2 辶
𭬲	3 牜无丿 勹 横两撇 亻 隹字边 木
𭬳	木 亠 口 口 亻 隹字边
𭬴	木 木 广 丷 1 聿三 兼无䒑无彐
𭬵	木 雨头 弓 弓 弓
𭬶	木 广 亻 亻 隹字边 青字底
𭬷	卧人 大 艹 亻 隹字边 木
𭬸	木 門字旁 門字边 屰 欠
𭬹	木 亠 5 2 刀 卬字旁 4 非 1
𭬺	1 巛 日 木 见二 人 冖 夫
𭬻	木 厂 3 日 小 丆 目 八
𭬼	木 艹 衰字腰 口 2 女 攵
𭬽	艹 罒 冂 非 木
𭬾	木 竹头 氵 1 青字底 2 4 寸
𭬿	木 言 火 火 火
𭭀	木 鹿 见二 3 木 1
𭭁	木 3 土 儿 3 土 儿 鬲
𭭂	木 覀 革 馬字框 灬
𭭃	木 十 目 十 目 1 八 十 目 1 八
𭭄	2 4 欠
𭭅	二 儿 欠
𭭆	冖 几 欠
𭭇	1 冂 木无横 欠
𭭈	1 业无横 1 欠
𭭉	六 乂 欠
𭭊	久二 4 口 欠
𭭋	丷 1 举字底 欠
𭭌	八 兄 欠
𭭍	山 卧人 大 欠
𭭎	上 卧人 大 欠
𭭏	1 6 丷 木 欠
𭭐	日 1 勹 横两撇 欠
𭭑	日 皿 欠
𭭒	1 业无横 1 日 欠
𭭓	丆 青字底 冖 夂 欠
𭭔	虍 丘 欠
